"","scenario_run","run","total","wane"
"393","run1",57,5683.58827271476,"Waning"
"394","run2",57,5678.74478645595,"Waning"
"395","run3",57,5660.76933936515,"Waning"
"396","run4",57,5662.22284500017,"Waning"
"397","run5",57,4431.48633764597,"Waning"
"398","run6",57,4755.58395856901,"Waning"
"399","run7",57,4395.97351276478,"Waning"
"400","run1",58,4811.48680184431,"Waning"
"401","run2",58,4803.59430840562,"Waning"
"402","run3",58,4772.29383591541,"Waning"
"403","run4",58,4775.20823210875,"Waning"
"404","run5",58,3439.22542820768,"Waning"
"405","run6",58,3695.22128839487,"Waning"
"406","run7",58,3380.23045371871,"Waning"
"407","run1",59,5269.90444111099,"Waning"
"408","run2",59,5265.12624762013,"Waning"
"409","run3",59,5247.0927608485,"Waning"
"410","run4",59,5248.27300127851,"Waning"
"411","run5",59,4022.2158809036,"Waning"
"412","run6",59,4479.37292727547,"Waning"
"413","run7",59,3987.2639345429,"Waning"
"414","run1",60,5688.89328784887,"Waning"
"415","run2",60,5686.21098366153,"Waning"
"416","run3",60,5674.75994888066,"Waning"
"417","run4",60,5675.8783009615,"Waning"
"418","run5",60,4893.20018960359,"Waning"
"419","run6",60,4917.08299704749,"Waning"
"420","run7",60,4868.79801331415,"Waning"
"421","run1",61,5413.90639503982,"Waning"
"422","run2",61,5408.49518439587,"Waning"
"423","run3",61,5387.88339072113,"Waning"
"424","run4",61,5389.73962556912,"Waning"
"425","run5",61,4590.90208855516,"Waning"
"426","run6",61,4842.79961188553,"Waning"
"427","run7",61,4553.24214571168,"Waning"
"428","run1",62,5895.03545190687,"Waning"
"429","run2",62,5887.05482431935,"Waning"
"430","run3",62,5857.50635919099,"Waning"
"431","run4",62,5861.3013500167,"Waning"
"432","run5",62,4656.73254707503,"Waning"
"433","run6",62,5213.41917172233,"Waning"
"434","run7",62,4601.93998652349,"Waning"
"435","run1",63,5145.15007247678,"Waning"
"436","run2",63,5142.44451758366,"Waning"
"437","run3",63,5131.62375922528,"Waning"
"438","run4",63,5132.15781892451,"Waning"
"439","run5",63,4377.80162841377,"Waning"
"440","run6",63,4400.65359063297,"Waning"
"441","run7",63,4353.93167749538,"Waning"
"442","run1",64,5749.82212350986,"Waning"
"443","run2",64,5745.74074006183,"Waning"
"444","run3",64,5729.97928561153,"Waning"
"445","run4",64,5731.82486316061,"Waning"
"446","run5",64,4819.95626480766,"Waning"
"447","run6",64,4952.22144471184,"Waning"
"448","run7",64,4788.79238568005,"Waning"
"449","run1",65,5234.19521373493,"Waning"
"450","run2",65,5231.59459177451,"Waning"
"451","run3",65,5222.15404560599,"Waning"
"452","run4",65,5223.05128529191,"Waning"
"453","run5",65,4777.69043826561,"Waning"
"454","run6",65,4822.00115495939,"Waning"
"455","run7",65,4754.64006463567,"Waning"
"456","run1",66,6752.66957244089,"Waning"
"457","run2",66,6749.64163127003,"Waning"
"458","run3",66,6738.4083651467,"Waning"
"459","run4",66,6738.82588989206,"Waning"
"460","run5",66,5445.05939062517,"Waning"
"461","run6",66,5992.89111728769,"Waning"
"462","run7",66,5422.55094879739,"Waning"
"463","run1",67,5711.53546149274,"Waning"
"464","run2",67,5704.75892511182,"Waning"
"465","run3",67,5673.99764382794,"Waning"
"466","run4",67,5676.76235127771,"Waning"
"467","run5",67,3588.99596460167,"Waning"
"468","run6",67,4447.8938273441,"Waning"
"469","run7",67,3533.12872241339,"Waning"
"470","run1",68,5221.76741010278,"Waning"
"471","run2",68,5215.67163157852,"Waning"
"472","run3",68,5193.59835026254,"Waning"
"473","run4",68,5195.06310653053,"Waning"
"474","run5",68,3616.55658308257,"Waning"
"475","run6",68,4302.56507570487,"Waning"
"476","run7",68,3573.90312497499,"Waning"
"477","run1",69,5811.08080162845,"Waning"
"478","run2",69,5807.13206035029,"Waning"
"479","run3",69,5792.74956161402,"Waning"
"480","run4",69,5793.92252699639,"Waning"
"481","run5",69,4937.71266493436,"Waning"
"482","run6",69,5127.90261839359,"Waning"
"483","run7",69,4908.95936696347,"Waning"
"484","run1",70,5328.8358766305,"Waning"
"485","run2",70,5322.9684528722,"Waning"
"486","run3",70,5301.44305796436,"Waning"
"487","run4",70,5303.49893779953,"Waning"
"488","run5",70,4362.88016372275,"Waning"
"489","run6",70,4681.11553100392,"Waning"
"490","run7",70,4322.7035639906,"Waning"
"491","run1",71,5125.59501601098,"Waning"
"492","run2",71,5116.59671684616,"Waning"
"493","run3",71,5081.85036323498,"Waning"
"494","run4",71,5085.79503103577,"Waning"
"495","run5",71,3957.50851705365,"Waning"
"496","run6",71,4290.49438049269,"Waning"
"497","run7",71,3894.21354053138,"Waning"
"498","run1",72,3908.93451549402,"Waning"
"499","run2",72,3902.08111762822,"Waning"
"500","run3",72,3873.90664565146,"Waning"
"501","run4",72,3876.79478738906,"Waning"
"502","run5",72,3288.22984236655,"Waning"
"503","run6",72,3206.34168549152,"Waning"
"504","run7",72,3234.94623690514,"Waning"
"505","run1",73,5770.90927976867,"Waning"
"506","run2",73,5767.15308467931,"Waning"
"507","run3",73,5753.8976244024,"Waning"
"508","run4",73,5753.78840734944,"Waning"
"509","run5",73,4240.53107081982,"Waning"
"510","run6",73,4995.0067406282,"Waning"
"511","run7",73,4214.91634762231,"Waning"
"512","run1",74,6077.15911745191,"Waning"
"513","run2",74,6071.63887786564,"Waning"
"514","run3",74,6051.05425563694,"Waning"
"515","run4",74,6052.72968649365,"Waning"
"516","run5",74,4715.01564384917,"Waning"
"517","run6",74,5181.45478608231,"Waning"
"518","run7",74,4675.43841701781,"Waning"
"519","run1",75,5857.49777301953,"Waning"
"520","run2",75,5850.73213143762,"Waning"
"521","run3",75,5824.51713078476,"Waning"
"522","run4",75,5827.11160142887,"Waning"
"523","run5",75,4452.57341193535,"Waning"
"524","run6",75,4867.80003278222,"Waning"
"525","run7",75,4404.0219000173,"Waning"
"526","run1",76,6224.75232450938,"Waning"
"527","run2",76,6219.92816950408,"Waning"
"528","run3",76,6202.70675248636,"Waning"
"529","run4",76,6204.31862272234,"Waning"
"530","run5",76,5228.60923285046,"Waning"
"531","run6",76,5495.12986480468,"Waning"
"532","run7",76,5195.42903581422,"Waning"
"533","run1",77,4778.66136096709,"Waning"
"534","run2",77,4767.27945592425,"Waning"
"535","run3",77,4723.1316662561,"Waning"
"536","run4",77,4728.69148153108,"Waning"
"537","run5",77,3595.18361518745,"Waning"
"538","run6",77,3842.43394054684,"Waning"
"539","run7",77,3516.76572517949,"Waning"
"540","run1",78,4707.77484438444,"Waning"
"541","run2",78,4703.42548156673,"Waning"
"542","run3",78,4682.30723250314,"Waning"
"543","run4",78,4683.83026326999,"Waning"
"544","run5",78,3920.16091215898,"Waning"
"545","run6",78,3921.89837010228,"Waning"
"546","run7",78,3879.55285700708,"Waning"
"547","run1",79,4474.86141686288,"Waning"
"548","run2",79,4468.14031952806,"Waning"
"549","run3",79,4440.62937818793,"Waning"
"550","run4",79,4442.98395881983,"Waning"
"551","run5",79,3409.4686149361,"Waning"
"552","run6",79,3484.87688772098,"Waning"
"553","run7",79,3358.44812232024,"Waning"
"554","run1",80,5728.04460880222,"Waning"
"555","run2",80,5722.07132110721,"Waning"
"556","run3",80,5699.40048596326,"Waning"
"557","run4",80,5702.0226359433,"Waning"
"558","run5",80,4738.10897777371,"Waning"
"559","run6",80,5061.8018332969,"Waning"
"560","run7",80,4696.69015251585,"Waning"
"561","run1",81,5692.13936966778,"Waning"
"562","run2",81,5686.74890180657,"Waning"
"563","run3",81,5667.14259639783,"Waning"
"564","run4",81,5669.15883484913,"Waning"
"565","run5",81,4627.38007792096,"Waning"
"566","run6",81,4878.72461080331,"Waning"
"567","run7",81,4589.60799554234,"Waning"
"568","run1",82,6181.16818485216,"Waning"
"569","run2",82,6175.79834041583,"Waning"
"570","run3",82,6156.32552360157,"Waning"
"571","run4",82,6158.06318665917,"Waning"
"572","run5",82,4619.60460496898,"Waning"
"573","run6",82,5333.62825939487,"Waning"
"574","run7",82,4581.02450802516,"Waning"
"575","run1",83,5045.81127011946,"Waning"
"576","run2",83,5041.67471642504,"Waning"
"577","run3",83,5026.76921845906,"Waning"
"578","run4",83,5028.5310765633,"Waning"
"579","run5",83,4547.04751241075,"Waning"
"580","run6",83,4594.44417127063,"Waning"
"581","run7",83,4518.23688318749,"Waning"
"582","run1",84,6106.03692131046,"Waning"
"583","run2",84,6104.07654436358,"Waning"
"584","run3",84,6096.81305395702,"Waning"
"585","run4",84,6097.01704058306,"Waning"
"586","run5",84,5397.87222149401,"Waning"
"587","run6",84,5414.04644330152,"Waning"
"588","run7",84,5378.56733537223,"Waning"
